Date,Type,Link
2021-10-05 18:09:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6850448225476993024
2021-09-30 22:04:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6849352897461932032
2021-09-25 06:30:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6846059949601173504
2021-09-25 06:29:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6846800352860356608
2021-09-23 09:03:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6845977016731336704
2021-09-16 17:52:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6843798727539470336
2021-09-16 17:52:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6843633772160782336
2021-09-12 07:55:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6841989217212600320
2021-09-11 06:05:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6841720085778984960
2021-09-11 06:03:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aarticle%3A8919088603457124076
2021-09-11 05:59:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6841613884466565120
2021-09-09 06:24:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6841207996463296512
2021-09-06 16:42:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6840674695495479296
2021-09-04 14:19:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6839899514527125504
2021-09-03 20:39:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6839547398801518592
2021-09-02 15:43:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6839156454868566016
2021-09-01 14:44:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6838780113656647680
2021-09-01 09:51:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6837518267498668032
2021-08-31 13:16:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6838001543019552768
2021-08-29 14:33:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6837201413538496512
2021-08-26 19:18:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6836702015670906880
2021-08-25 15:47:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6836240346352029696
2021-08-22 15:30:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6835186791499280384
2021-08-19 14:48:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6834039366483030016
2021-08-19 09:54:00,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6829403055319076864
2021-08-17 12:54:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6829107665143242752
2021-08-05 07:47:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6828553389425651712
2021-07-23 16:04:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6821865772202258432
2021-07-23 13:11:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6819270338765975552
2021-07-23 13:10:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6819942424891260928
2021-07-23 07:48:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6822035900227235840
2021-07-23 07:44:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6824177999034761216
2021-07-22 13:57:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6823955351679881216
2021-07-22 07:36:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6822848634288271360
2021-07-22 07:34:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6822021194871566336
2021-07-22 06:44:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6823695725591879680
2021-07-19 06:29:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6822625063200714752
2021-07-10 07:11:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6819467802030727169
2021-07-08 15:52:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6818881465779068928
2021-05-21 08:50:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6801427050155556864
2021-05-18 07:05:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6800117697402220544
2021-05-12 13:46:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6796814867669032961
